Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Харченко,Аліна,Миколаївна,жіноча,1984-02-22,Державний службовець,село Семенівка,"шосе Академічна, буд. 28, Калуш, 58143",992-22-81,anzhela38@example.net
Бабій,Аарон,Вікторович,чоловіча,1959-10-29,Філолог,селище Жовті Води,"сквер 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 37, Попасна, 73362",079 380-73-43,martamedvedenko@example.org
Ткаченко,Борислав,Сергійович,чоловіча,1952-07-04,Бібліограф,хутір Одеса,"площа Ковиловий, буд. 11 кв. 9, Носівка, 07351",+380 78 959-98-87,demianiukliudmyla@example.org
Олійник,Феофан,Вікторович,чоловіча,1993-06-14,Пекар,селище Косів,"узвіз 40-річчя оборони Одеси, буд. 088 кв. 4, Зборів, 71318",+380 (60) 607-26-86,vakarchuklevko@example.net
Масоха,Панас,Леонідович,чоловіча,1941-04-07,Математик,хутір Єнакієве,"шосе Лінія 39-та, буд. 4, Городище , 53032",049 220 20 68,goberemko@example.com
Ємець,Аарон,Олександрович,чоловіча,2001-04-20,Футболіст,місто Копичинці,"вулиця Політкаторжан, буд. 069 кв. 0, Міусинськ, 64267",+380 11 053-78-04,arsensachenko@example.org
Вобла,Адам,Геннадійович,чоловіча,2003-02-17,Мистецтвознавець,село Малин,"парк Басейний 6-й, буд. 606, Хуст, 81674",+380 11 159-56-91,ruslan49@example.org
Удовенко,Валентин,Петрович,чоловіча,1983-05-27,Економіст,село Нова Одеса,"провулок Героїв Небесної Сотні, буд. 4 кв. 8, Монастириська, 01601",+380 02 177-34-48,iefrem74@example.com
Чайка,Аркадій,Сергійович,чоловіча,1997-11-22,Музикант,селище Кам'янка-Дніпровська,"провулок Латвійський узвіз, буд. 686, Жидачів, 51192",983 22 71,onishchukvalerii@example.org
Гаврилець,Святослава,Дмитрівна,жіноча,1963-05-10,Електротехнік,селище Носівка,"площа Мінська, буд. 223 кв. 091, Зугрес, 72573",+380 (57) 758-61-09,tkachenkostanislav@example.net
Атаманчук,Алевтин,Ігоревич,чоловіча,1979-08-23,Дерун,селище Севастополь,"узвіз Хлібна гавань, буд. 3, Корсунь-Шевченківський, 42810",+380 17 338 24 80,akulenkoliliia@example.com
Сагаль,Мілена,Дмитрівна,жіноча,1973-10-05,Хімік,селище Теребовля,"набережна Лідерсівський, буд. 52, Белз, 40488",+380 23 530 57 31,fastenkoruslan@example.com
Нестайко,Аарон,Максимович,чоловіча,2006-09-21,Ґрунтознавець,селище Тростянець,"шосе Калнишевського Петра, буд. 6 кв. 36, Сарни, 92381",+380 46 046 79 48,jsahal@example.org
Шеремет,Аврелій,Романович,чоловіча,1976-08-02,Кур'єр,селище Гірське,"шосе Сімферопольська, буд. 52, Бахмач, 25489",057 035 56 13,emiliia60@example.net
Чумак,Володимира,Іванівна,жіноча,1966-12-05,Золотар,селище Кропивницький,"площа Шахтинський, буд. 30 кв. 734, Могилів-Подільський, 74860",161-26-98,valentynfranko@example.com
Гоголь-Яновська,Левко,Олегович,чоловіча,1985-08-30,Ветеринар,хутір Ромни,"сквер Картамишевська, буд. 83 кв. 01, Рівне, 39193",+380 41 193-46-92,cparasiuk@example.com
Шаблій,Орест,Олександрович,чоловіча,1966-07-12,Співак,хутір Коломия,"вулиця Космонавта Комарова, буд. 53 кв. 4, Джанкой, 46821",579-63-47,chervonenkoiryna@example.org
Андрійчук,Болеслав,Михайлович,чоловіча,1989-08-07,Кінорежисер,селище Теребовля,"вулиця Канатна, буд. 4, Бобринець, 98623",074 35 88,myronpanchuk@example.com
Орлик,Віолетта,Іванівна,жіноча,1971-10-17,Ювелір,місто Каховка,"провулок Павла Шклярука, буд. 3 кв. 4, Нововолинськ, 27066",+380 93 251-42-79,eduardlaba@example.net
Лесик,Феофан,Васильович,чоловіча,1947-02-18,Письменник,селище Фастів,"сквер Старосінна, буд. 661, Яремче, 41801",577-69-58,larysa82@example.net
Теліженко,Спас,Миколайович,чоловіча,1960-12-30,Флорист,хутір Узин,"узвіз Садова 1-ша, буд. 17 кв. 32, Іллінці, 02928",+380 (98) 682-26-22,ishchenkoviacheslav@example.com
Стець,Демид,Артемович,чоловіча,1950-09-02,Реабілітолог,село Марганець ,"набережна Херсонський сквер, буд. 71, Яворів, 50655",844-52-08,demydkylymnyk@example.com
Височан,Вадим,Миколайович,чоловіча,1980-11-03,Геофізик,селище Трускавець,"набережна Ползунова 1-й, буд. 4, Прип'ять , 36724",418 35 39,upalii@example.com
Рябошапка,Борис,Павлович,чоловіча,1994-01-31,Редактор,місто Очаків,"сквер Селищний, буд. 61, Обухів, 94908",002 427 47 02,stefanizhakevych@example.com
Карпа,Валентин,Артемович,чоловіча,1940-03-27,Палеонтолог,місто Бахмач,"парк Академіка Філатова, буд. 55 кв. 1, Василівка , 92217",391 59 40,zhaivoroniustym@example.net
Вергун,Юстина,Вікторівна,жіноча,1983-11-29,Доцент,селище Середина-Буда,"провулок Новоселів, буд. 491 кв. 373, Первомайськ, 39904",+380 36 945-64-24,xfartushniak@example.net
Височан,Ольга,Ігорівна,жіноча,1993-05-12,Економіст,селище Красноград,"проспект Академіка Заболотного, буд. 08 кв. 593, Гуляйполе, 97245",+380 (45) 009-09-47,makar25@example.net
Зінченко,Наталія,Іванівна,жіноча,1986-11-20,Гірник,хутір Олександрівськ,"провулок Чорноморський, буд. 632 кв. 47, Герца, 43702",+380 (97) 328-08-81,tereza61@example.com
Дейсун,Онисим,Юрійович,чоловіча,1995-12-29,Гінеколог,село Білогірськ,"площа Студентський, буд. 61 кв. 757, Червоноград, 51903",+380 34 914-14-09,tarasvakarchuk@example.com
Скорик,Прохір,Михайлович,чоловіча,1970-09-17,Золотар,селище Ужгород,"шосе Молодіжна, буд. 449 кв. 6, Апостолове, 29895",+380 55 991-80-27,vadym09@example.com
Вівчаренко,Анжела,Максимівна,жіноча,2004-10-05,Візажист,хутір Свалява,"площа Професора Коровицького, буд. 90 кв. 4, П'ятихатки, 22097",025 532 52 36,stefanredko@example.net
Терещук,Василина,Іванівна,жіноча,2005-10-07,Золотар,село Житомир,"набережна Студентський 4-й, буд. 915, Інкерман, 37339",093 790 24 64,zynoviiiaremko@example.com
Гоголь-Яновський,Михайлина,Сергіївна,жіноча,1947-11-08,Продюсер,хутір Сміла,"сквер Капітана Кузнецова, буд. 958 кв. 95, Радивилів, 66879",+380 84 496 67 25,leopoldpustovit@example.net
Литвин,Ольга,Юріївна,жіноча,1966-01-02,Слідчий,село Благовіщенське,"провулок Спортивний, буд. 91 кв. 87, Дніпрорудне, 13453",096 040-67-39,dubenkobohuslav@example.com
Чередник,Вадим,Миколайович,чоловіча,1970-11-27,Паралегал,селище Хрустальний,"вулиця Лінія 27-ма, буд. 6, Нетішин, 72715",+380 93 433-62-29,mykolaibabychenko@example.com
Ковалюк,Гордій,Геннадійович,чоловіча,1965-10-13,Композитор,хутір Кам'янка-Дніпровська,"вулиця Південна, буд. 7, Ніжин, 85538",+380 93 120-45-18,onishchukhavrylo@example.com
Приймак,Юхим,Ігоревич,чоловіча,1986-06-12,Агроном,селище Винники,"проспект Академічний, буд. 08, Кам'янка-Бузька, 79787",067 396 42 33,okhrim48@example.com
